package_name,aaid,aid,geo,router_ssid,wifi_mac,router_mac,imei,hwid,phone,email,real_name,package_dump,simid,gsfid
com.cmcm.locker.theme.l102834909,0,1,0,0,0,0,1,0,0,0,0,0,0,0
com.cmcm.locker.theme.l102839704,0,1,0,0,0,0,1,0,0,0,0,0,0,0
com.cmplay.dancingline,1,1,0,0,1,0,0,0,0,0,0,0,0,0
com.cmplay.tiles2,1,1,0,1,0,0,0,0,0,0,0,0,0,0
com.com2us.smon.normal.freefull.google.kr.android.common,1,1,0,0,0,0,1,0,0,0,0,0,0,0
com.combineinc.streetracing.driftthreeD,1,1,0,0,0,0,1,0,0,0,0,0,0,0
com.commsource.beautyplus,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.contextlogic.wish,1,1,1,0,0,0,0,0,0,0,0,0,0,0
com.creativemobile.DragRacing,1,1,1,1,0,1,0,0,0,0,0,0,0,0
com.cricbuzz.android,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.cyberlink.youcammakeup,1,1,1,1,0,0,0,0,0,0,0,0,0,0
com.cyberlink.youperfect,1,0,1,0,0,0,0,0,0,0,0,0,0,0
com.devexpert.weather,1,0,1,0,0,0,0,0,0,0,0,0,0,0
com.dianxinos.dxbs,1,1,0,0,0,0,0,0,0,1,0,0,0,0
com.dianxinos.optimizer.duplay,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.digidust.elokence.akinator.freemium,1,1,1,0,0,0,0,0,0,0,0,0,0,0
com.disney.WMWLite,1,0,0,0,0,0,0,1,0,0,0,0,0,0
com.disney.frozensaga_goo,0,0,0,0,0,0,0,1,0,0,0,0,0,0
com.dnddream.headsoccer.android,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.droid27.transparentclockweather,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.drweb.pro,0,1,0,0,0,0,0,0,0,1,0,0,0,0
com.dts.freefireth,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.dvloper.granny,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.ea.game.nfs14_row,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.ea.game.simcitymobile_row,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.ea.gp.fifamobile,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.ea.gp.nbamobile,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.easygame.marblelegend2.free,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.ebay.mobile,1,1,1,0,0,0,0,0,0,0,0,1,0,0
com.epicwaronline.ms,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.episodeinteractive.android.catalog,1,1,0,1,0,0,0,1,0,0,0,0,0,0
com.etermax.preguntados.lite,1,1,1,0,0,0,0,0,0,0,0,0,0,0
com.facebook.lite,1,1,0,1,0,0,0,0,1,1,0,0,1,0
com.facebook.orca,0,1,0,0,0,0,0,1,0,0,0,0,0,0
com.fgol.HungrySharkEvolution,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.fingersoft.benjibananasadventures,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.fingersoft.hcr2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.fingersoft.hillclimb,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.firsttouchgames.dls3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.firsttouchgames.story,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.flipkart.android,1,1,1,0,0,0,0,0,0,0,0,0,0,0
com.foobnix.pdf.reader,0,0,0,0,0,0,0,1,0,0,0,0,0,0
com.fotoable.fotobeauty,1,1,0,0,0,1,0,1,0,0,0,0,0,0
com.funcamerastudio.videomaker,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.fundevs.app.mediaconverter,1,0,1,0,0,0,0,0,0,0,0,0,0,0
com.fungames.battletanksbeta,1,1,0,0,0,0,0,1,0,0,0,0,0,0
com.fungames.blockcraft,1,1,1,0,0,0,0,0,0,0,0,0,0,0
com.fungames.flightpilot,1,1,0,0,1,0,0,1,0,0,0,0,0,0
com.fungamesforfree.colorfy,1,1,0,0,0,0,0,1,0,0,0,0,0,0
com.funplus.familyfarm,1,1,0,0,0,0,0,1,0,0,0,0,0,0
com.funplus.familyfarmtango,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.funplus.kingofavalon,1,1,0,0,0,0,1,0,0,0,0,0,0,0
com.funplus.kingofavalonptr,1,1,0,0,0,0,1,0,0,0,0,0,0,0
com.funzio.crimecity,1,1,0,0,0,0,1,0,0,0,0,0,0,0
com.fusionprojects.edmodo,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.g5e.hiddencity.android,1,1,0,0,0,0,0,0,0,0,0,1,0,0
com.g6677.android.phairsalon,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.gaana,1,1,1,1,0,0,0,1,0,0,0,0,0,0
com.gaana.hindibhajan,0,1,0,0,0,0,0,0,0,0,0,0,0,0
com.gaana.kishorekumarhitsongs,0,1,0,0,0,0,0,0,0,0,0,0,0,0
com.gaana.lovesongshindi,0,1,0,0,0,0,0,0,0,0,0,0,0,0
com.gaana.punjabisongs,0,1,0,0,0,0,0,0,0,0,0,0,0,0
com.gaana.tamilsongs,0,1,0,0,0,0,0,0,0,0,0,0,0,0
com.game.BMX_Boy,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.game.BubbleShooter,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.game.JewelsStar2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.game.JewelsStar3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.game.SkaterBoy,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.game.basketballshoot,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.game.space.shooter2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.gamecircus.PrizeClaw,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.gamecircus.tycoon,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.gamedevltd.modernstrike,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.gamedevltd.wwh,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.gamegos.mobile.cafeland,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.gamegou.PerfectKick.google,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.gamegou.football,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.gamehivecorp.taptitans2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
com.gameinsight.airport,1,1,0,0,0,0,0,1,0,0,0,0,0,0
com.gameinsight.gobandroid,1,1,0,0,1,0,0,1,0,0,0,0,0,0
com.gameinsight.tribez,1,1,0,0,0,0,0,1,0,0,0,0,0,0
com.gameinsight.tribez3gp,1,1,0,1,0,0,0,1,0,0,0,0,0,0
com.gameloft.android.ANMP.Gloft5DHM,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.gameloft.android.ANMP.GloftA8HM,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.gameloft.android.ANMP.GloftDMHM,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.gameloft.android.ANMP.GloftDOHM,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.gameloft.android.ANMP.GloftDYHM,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.gameloft.android.ANMP.GloftFWHM,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.gameloft.android.ANMP.GloftGF2F,1,0,0,0,0,0,0,1,0,0,0,0,0,0
com.gameloft.android.ANMP.GloftGGHM,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.gameloft.android.ANMP.GloftGHHM,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.gameloft.android.ANMP.GloftGOHM,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.gameloft.android.ANMP.GloftHFHM,1,0,0,0,0,0,0,0,0,0,0,0,0,0
com.gameloft.android.ANMP.GloftHOHM,1,0,0,1,0,0,0,0,0,0,0,0,0,0
com.gameloft.android.ANMP.GloftM5HM,1,0,0,0,0,0,0,0,0,0,0,0,0,0
